区画,クレート,ファイル,行,識別子,記号の種類,落ちた条件,なぜ読めないか,改名の素案,報告ファイル
019,blitz_assembly,crates/blitz_assembly/src/mating/scaled_face.rs,72,軸に沿った伸び(自由関数),なし,条件4(品詞の規律),この関数は「その軸に沿って接合面の長さが何倍に伸びるか」を計算する処理(倍率を掛けた成分の長さを元の長さで割る)であり、値ではなく処理である。にもかかわらず動詞を持たない名詞句のまま定義されている。同じファイル内の同種の計算関数比を求める・長さを求める(いずれも動詞句)と並べると、この関数だけが「計算結果を保持する値のフィールド」であるかのように読める(品詞が処理を予告しない)。,軸に沿った伸びを求める,命名_区画019_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/chunk_world.rs,25,書き出す,なし,"2,3,5",ASCIIモジュール名chunk_worldは補完力ゼロ。単独では板の共有バッファ・glTF文書・目録一式のどれを書き出すか不明,チャンク世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/night_lights_world.rs,40,書き出す,なし,"2,3,5",同上。夜の多光源世界のソース一式であることが名前に無い,夜の多光源世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/part_house_row_world.rs,36,書き出す,なし,"2,3,5",同上。家並みの地面という対象語が無い,家の並びの地面のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/part_frame_row_world.rs,39,書き出す,なし,"2,3,5",同上。骨格の並びの地面という対象語が無い,骨格の並びの地面のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/part_tree_row_world.rs,36,書き出す,なし,"2,3,5",同上。木の並びの地面という対象語が無い,木の並びの地面のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/stone_hut_world.rs,34,書き出す,なし,"2,3,5",同上。屋内検収世界のソース一式であることが名前に無い,屋内検収世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/surface_layer_tiles.rs,22,書き出す,なし,"2,3,5",同上。地表材質のタイル画像であることが名前に無い,地表材質のタイル画像一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/terrain_visual_world.rs,46,書き出す,なし,"2,3,5",同上。目視見本世界のソース一式であることが名前に無い,目視見本世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/terrain_world.rs,28,書き出す,なし,"2,3,5",同上。地形検証用世界のソース一式であることが名前に無い,地形検証用世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/village_world.rs,34,書き出す,なし,"2,3,5",同上。見本の集落の地面であることが名前に無い,見本の集落の地面のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/vegetation_world.rs,42,書き出す,なし,"2,3,5",同上。植生検証世界の原型glTF一式であることが名前に無い,植生検証世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world.rs,18,書き出す,なし,"2,3,5",同上。場所巡りの世界のソース一式であることが名前に無い(モジュール冒頭コメントには書いてあるが識別子には現れない),場所巡りの世界のソース一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/smoke_assets.rs,11,書き出す,なし,"2,3,5",同上。スモーク検証用アセット一式(quad・シャドウ・材質境界・遠方環境)であることが名前に無い,スモーク検証アセット一式を書き出す,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/textures.rs,8,保存する,なし,"2,3,5",何を保存するかが無い。実体はquad用の2枚の単色PNG,quad用の単色画像2枚を保存する,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/shadow_scene_texture.rs,9,保存する,なし,"2,3,5",何を保存するかが無い。実体はシャドウ検証用の4x4白PNG1枚,シャドウ検証用の白画像を保存する,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/main.rs,68,実行する,なし,"2,3,5",main.rs直下の自由関数で目的語が無い。実体は起動引数を読んで書き出す対象を選び分岐実行する処理,起動引数から書き出しを実行する,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/compile_assets/main.rs,17,実行する,なし,"2,3,5",同上。実体は起動引数を読んでアセットのコンパイルを実行する処理,起動引数からコンパイルを実行する,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/gltf_json.rs,5,文書JSON,英単語または略号,日本語命名の質(膠着圧縮の禁止),「文書」と「JSON」を助詞なしで直結している。「文書のJSON表現」のような句を1語へ圧縮した形,文書のJSON文字列 または JSON形式の文書,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/shadow_scene_gltf_json.rs,6,文書JSON,英単語または略号,日本語命名の質(膠着圧縮の禁止),同上,同上,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/vegetation_world.rs,35,LOD共有バッファファイル名,英単語または略号,日本語命名の質(膠着圧縮の禁止),「LOD」「共有バッファ」「ファイル名」の3つの名詞を助詞なしで連結している。「LOD原型用の共有バッファのファイル名」のような句が圧縮されている,LOD原型用の共有バッファのファイル名,命名_区画020_2026-09-12.md
020,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/vegetation_world.rs,36,LOD原型文書ファイル名,英単語または略号,日本語命名の質(膠着圧縮の禁止),同上。「LOD原型のglTF文書のファイル名」の圧縮,LOD原型の文書のファイル名,命名_区画020_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/terrain_visual_world/gltf_json.rs,12,"文書(関数名。fn 文書(連結: &連結した立体, バイナリファイル名: &str) -> String)",英単語または略号,受理条件1(受理テスト)・4(品詞の規律),呼び出し先のモジュールgltf_jsonはASCIIで補完力ゼロ。「文書」は名詞1語であり、値を保持するフィールドのように読めてしまい、実体である「材質見本の立体のglTF文書を組み立てる処理」だと単独で答えられない。同じ区画内のobstacle_gltf_json.rsの遮蔽物のgltf文書を組み立てる、texture_compression_world/gltf_json.rsの対照の板のgltf文書を作る、vegetation_world/gltf_json.rsの文書を作るはいずれも動詞句であり、この2件だけが名詞1語で取り残されている,材質見本の立体のgltf文書を組み立てる,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/terrain_visual_world/distant_ground.rs,54,文書(関数名。fn 文書(バイナリファイル名: &str) -> String),英単語または略号,受理条件1・4,同上。モジュールdistant_groundはASCII。「文書」だけでは何のglTF文書かも、値か処理かも単独で答えられない,遠景地面のgltf文書を組み立てる,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/terrain_visual_world/geometry.rs,26,組み立てる(自由関数。pub(super) fn 組み立てる() -> 連結した立体),英単語または略号,受理条件1・2・5(裸の動詞の禁止),呼び出し元(terrain_visual_world.rs、区画外)ではgeometry::組み立てる()と書かれる。geometryはASCIIモジュール名で補完力ゼロのため、この自由関数は名前単独で「これは何をする処理か」に答える必要があるが、「組み立てる」だけでは目的語(球と台座をどう連結した何を組み立てるのか)が無く、create::生成する型の裸の動詞と同型の違反である,材質見本の立体を組み立てる,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/vegetation_world/gltf_json.rs,"12-16, 19-23",bufferview一覧・accessor一覧・mesh一覧・node一覧・node番号一覧(ローカル変数),英単語または略号,日本語命名の質(英語の技術用語を日本語へ未翻訳のまま混ぜる)・受理条件7(直訳の検出),bufferview・accessor・mesh・nodeはglTF仕様固有の英語語であり、UI/CPU/APIのような一般に通用する語ではない。英語のglTF仕様を知らない読み手はこれらの単語だけから中身を復元できない。同じ区画内のterrain_visual_world/gltf_json.rsは同じ概念をインデックスアクセサ一覧のようにカタカナへ訳しており、この区画だけ未翻訳の生英語が残っている,バッファビュー宣言一覧・アクセサ宣言一覧・メッシュ宣言一覧・ノード一覧・ノード番号一覧,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/vegetation_world/gltf_json/sections.rs,13-14,bufferview宣言・accessor宣言(段の区間のフィールド),英単語または略号,日本語命名の質・受理条件7,同上。型のフィールド名にも未翻訳の生英語が使われている,バッファビュー宣言・アクセサ宣言,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/vegetation_world/gltf_json/sections.rs,52,mesh宣言を作る(関数名),英単語または略号,日本語命名の質・受理条件7,同上。meshが未翻訳のまま残る,メッシュ宣言を作る,命名_区画021_2026-09-12.md
021,blitz_asset_compiler,crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing/vegetation_world/gltf_json/sections.rs,24,uv区間(ローカル変数。let uv区間 = 接線区間 + 接線区間長;),英単語または略号,受理条件6(1語1義)・7(直訳の検出),同じ関数の同じ処理内で、同一概念(テクスチャ座標の区間)を19行目ではテクスチャ座標区間長(翻訳済み)、24行目ではuv区間(未翻訳の略語)と2つの語で呼んでおり、1つの概念に2つの名前が付いている。uvだけでは英語のglTF属性名(TEXCOORD)を知らないと復元できない,テクスチャ座標区間の開始,命名_区画021_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/part_boxes.rs,35,番号で写した箱を引く,なし,条件7(直訳の検出),「引く」はlookupの直訳調として受理条件が名指しで禁止する語そのもの(グローバルCLAUDE.md「日本語命名の質」の失敗例に引くが明記されている)。英語のlookupを知らない読み手は「引く」から「索引で探し出す」を復元できない,番号に対応する箱を求める または 番号で写した箱を参照する,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/comparison.rs,72,正解表の余りを数える,なし,条件1(受理テスト。実体との不一致),名前は「数える」であり計数(カウンタの加算や列挙)を予告するが、実装は据えた件数 < 正解の件数のときに食い違いの1行をpushするだけの条件付き記録処理であり、何も数えていない(比較対象の姿勢1件を数えるは実際に一致した件数 += 1を行い名前と一致するが、この関数は一致しない)。定義を開いて実体と照合して初めて分かる不一致であり、試験の許容差の当て方の実例と同型,正解表の余りを食い違いとして記録する,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tavern_recipe.rs,34,積む,なし,条件3(5W1Hの必要格),"ASCIIモジュール(tavern_recipe.rs)直下のprivate自由関数で、レシーバも型名補完も無い。名前単独では「何を積むのか」「何を作るのか(接合の指示を生成する処理であること)」が answer できない。呼び出し側積む(0, ""上面"", ...)も位置引数だけで、名前が読み手に運ぶ情報が「積む」という動作だけになる",積む指示を作る(同クレート内のframe_bay_instruction.rsが使う〜指示を作るの命名規約に合わせる),命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tavern_recipe.rs,39,付ける,なし,条件1・3(受理テスト、5W1H),「付ける」は日本語として動作対象を問わない汎用動詞で、「これは何?」に単独で答えられない(何を何へ付けるのかが名前に無い)。実装は接合の指示を1件作るだけであり、名前だけでは「差込の接合指示を作る処理」だと復元できない,差し込む指示を作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tavern_recipe.rs,65,名前,なし,条件4(品詞の規律),実体は綴りを検証して接合点名を組み立てる処理(失敗しうるResultを返す)であるにもかかわらず、名前が単なる名詞「名前」になっている。「記録」フィールドが処理なのに名詞形だった過去の不合格例と同型の品詞の偽装,綴りから接合点名を作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tavern_recipe.rs,69,識別子,なし,条件4(品詞の規律),同上。実体は綴りを検証して部品IDを組み立てる処理だが、名前は名詞「識別子」のみ,綴りから部品idを作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tree_recipe.rs,36,継ぐ,なし,条件3(5W1Hの必要格),積むと同型。ASCIIモジュール直下のprivate自由関数で、名前単独では「何を継いで何を作るのか(接合の指示を生成する処理であること)」が読み取れない,継ぐ指示を作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tree_recipe.rs,47,名前,なし,条件4(品詞の規律),tavern_recipe.rs:65と同じ問題。同じ処理が別ファイルで同じ名詞1語のまま繰り返されている,綴りから接合点名を作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/part_assembly/tree_recipe.rs,51,識別子,なし,条件4(品詞の規律),tavern_recipe.rs:69と同じ問題,綴りから部品idを作る,命名_区画022_2026-09-12.md
022,blitz_asset_compiler,crates/blitz_asset_compiler/examples/watch_assets/main.rs,22,実行する,なし,条件5(裸の動詞の禁止),受理条件が禁止語の実例として名指ししている実行するそのもの。ASCIIモジュール(main.rs)直下の自由関数で引数も無く、型名やレシーバによる補完が一切効かない。実装は「引数を読み、監視状態を読み込み、変更をループで待って再コンパイルする」という具体的な仕事であり、名前がそれを何も語っていない,アセットの変更を監視して再コンパイルし続ける,命名_区画022_2026-09-12.md
024,blitz_asset_compiler,crates/blitz_asset_compiler/src/chunk_directory_source/entry.rs,49,"行不正(private free function、fn 行不正(行番号: usize, 行: &str) -> アセットコンパイルエラー)",英単語または略号,条件4(品詞の規律),この識別子は関数(処理)だが、名前が「行が不正である」という状態を述べる名詞句のままで、動詞句になっていない。受理テスト「〜する処理です」に「行不正する処理です」は成立しない。同じクレート・同じ役割(私有のエラー生成ヘルパー)の兄弟であるbuilding_grid_source/opening_source.rsの欄が不正なエラーを作る、building_grid_source/grid_file.rsの解釈できないエラーを作る・書き出せないエラーを作る、building_grid_source/source.rsの升目が成り立たないエラーを作るはいずれも「〜エラーを作る」という動詞句で統一されており、行不正だけがこの型から外れている,行不正のエラーを作る,命名_区画024_2026-09-12.md
025,blitz_asset_compiler,crates/blitz_asset_compiler/src/distant_terrain/statistics.rs,"14-15,26,35-36,48-59,63",p95・p99(構造体遠景の沈み統計のフィールド),英字1文字・数字,受理条件2(ASCII識別子は補完力ゼロ)・条件7(直訳/専門記号の検出),「p95」「p99」はASCIIアルファベットと数字を組み合わせた統計記号であり、日本語の文脈中に英字と算用数字がそのまま混ざる。この2文字だけでは「パーセンタイル」という語も「95」が何の単位かも日本語として読めず、英語の統計慣習を知らないと復元できない。同じファイルの百分位という関数名・中央値というフィールド名は正しく日本語化されているのに、この2つだけ生の記号が残っている(1語1義でも表記の統一が破れている),第九十五百分位・第九十九百分位(またはパーセンタイル95のように少なくとも一部を仮名にする折衷ではなく、既存の中央値に揃えて完全な日本語表記にする) — 注: 同型のp50・p95・p99はblitz_app側(frame_timing.rs・reports.rs等)にも広く存在し、本区画固有の新規違反ではなく既存の全域的な表記慣習である。是正は本区画だけでなく該当箇所を横断する作業になる,命名_区画025_2026-09-12.md
025,blitz_asset_compiler,crates/blitz_asset_compiler/src/distant_terrain/vertex.rs,"39,62,77",面上のuv(構造体頂点の素材のフィールド),英単語または略号,受理条件2・条件7,"同じ構造体の他のフィールド(東座標・高さ・南座標・東方向の高低差等)はすべて完全な日本語であるのに、このフィールドだけ「面上の」という日本語の助詞句にASCIIのuvを直接連結している。英語のテクスチャ座標の慣習(u,v)を知らない読み手はuvが何を指すか単独では復元できず、同じ構造体内で命名の一貫性も破れている",面上のテクスチャ座標(値は[f32; 2]のまま。境界(GPUへ送るメッシュ頂点属性.uv)への変換は頂点属性へ書き出すの中で1回だけ生のフィールド名uvへ戻せばよく、この構造体自身は完全な日本語で持てる),命名_区画025_2026-09-12.md
025,blitz_asset_compiler,crates/blitz_asset_compiler/src/editor_chunk/scatter_groups/archetype_choice.rs,15,原型の安定id(構造体焼く原型のフィールド),英単語または略号,受理条件2・条件6(1語1義),ユビキタス言語に登録された正式表記は「安定ID」(大文字)であり、アセットID型名も大文字を使う。このフィールドだけ小文字のidをアルファベットのまま日本語へ連結しており、同じ概念に大文字表記と小文字表記の2通りの綴りが生まれている(1語1義の破れ),原型の安定識別子(型アセットIDが既にIDであることを示すため、フィールド名側は漢字の「識別子」で受ける),命名_区画025_2026-09-12.md
025,blitz_asset_compiler,crates/blitz_asset_compiler/src/editor_chunk/scatter_groups/archetype_choice.rs,"20,24,34",植生定義id(関数植生定義の識別子から焼く原型を引くの引数名),英単語または略号,受理条件2・条件6,引数の型は植生定義ID(大文字)なのに、引数名だけ小文字のidを使っている。型名と変数名で綴りが食い違い、同じ画面を読む人が同じ概念に2つの表記を見ることになる,植生定義識別子または型名に合わせて植生定義ID(変数名として大文字IDを使う既存の広い慣習に合わせる),命名_区画025_2026-09-12.md
025,blitz_asset_compiler,crates/blitz_asset_compiler/src/editor_chunk/scatter_groups/archetype_choice.rs,61,引いた.原型の安定id(テストコード中の参照),英単語または略号,受理条件2・条件6,上の3と同一フィールドの参照であり、同じ理由で不合格,3の改名に追従,命名_区画025_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/argument_name.rs,60,解析する(自由関数、ASCIIモジュールargument_name直下),英単語または略号,条件5(裸の動詞の禁止)、条件2,ASCIIモジュール名は補完力ゼロのため、呼び出し側argument_name::解析する(引数名)では「何を解析するか」が単独で答えられない。create::生成するの却下例と同型,引数の綴りから対象世界を解析する,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/argument_name.rs,95,骨格の並びの世界(自由関数、fn 骨格の並びの世界(種類) -> 対象世界),英単語または略号,条件4(品詞の規律)、条件1,処理(構築処理)なのに動詞を持たない名詞句で、「これは何?」への答えにしかならず「〜する処理です」で成立しない,骨格の並びの世界を種類から作る,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/frame_bay_choice.rs,79,"名前(自由関数、pub(super) fn 名前(綴り: &str) -> Result<接合点名, String>)",英単語または略号,条件5、条件1、条件4,"生の文字列を検証済みの接合点名へ変換する処理だが、名前が単独の裸名詞で、呼び出し側で名前(""正面のはめ口"")と裸で使われ、何を検証しているのか単独で答えられない",接合点名を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/frame_bay_choice.rs,83,"識別子(自由関数、pub(super) fn 識別子(綴り: &str) -> Result<部品ID, String>)",英単語または略号,条件5、条件1、条件4,同上。部品IDへの変換処理を裸の名詞で名付けている,部品識別子を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/house_rule.rs,92,名前(自由関数),なし,条件5、条件1、条件4,frame_bay_choice.rs:79と同型の違反。この型のモジュールに同名の私有関数が複数箇所で独立に定義されており、いずれも裸名詞のまま呼ばれている,接合点名を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/house_rule.rs,96,識別子(自由関数),なし,条件5、条件1、条件4,同上,部品識別子を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/tree_rule.rs,62,名前(自由関数),なし,条件5、条件1、条件4,同上,接合点名を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/assembly_rule_choice/tree_rule.rs,66,識別子(自由関数),なし,条件5、条件1、条件4,同上,部品識別子を確かめる,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/vegetation_declaration.rs,29,一覧(自由関数、pub(super) fn 一覧() -> Vec<アセット定義>),英単語または略号,条件1、条件3、条件2,ASCIIモジュールvegetation_declaration直下の自由関数であり補完力ゼロ。「一覧です」は「何の一覧か」に答えていない,植生の世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/village_declaration.rs,36,一覧,なし,条件1、条件3、条件2,同上のパターン,見本の集落の世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/stone_hut_declaration.rs,38,一覧,なし,条件1、条件3、条件2,同上,屋内の多光源の世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/night_lights_declaration.rs,55,一覧,なし,条件1、条件3、条件2,同上,夜の多光源の世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/part_house_row_declaration.rs,31,一覧,なし,条件1、条件3、条件2,同上,部品で組んだ家の並びの世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/part_tree_row_declaration.rs,20,一覧,なし,条件1、条件3、条件2,同上,部品で組んだ木の並びの世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/part_frame_row_declaration.rs,64,一覧(引数種類あり),なし,条件1、条件3、条件2,引数はあるが名前自体は依然「一覧」のみで、返す一覧が何の一覧かを名前が言わない,部品で組んだ一間四方の骨格の並びの世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/visual_sample_declaration.rs,44,一覧,なし,条件1、条件3、条件2,同上,目視見本の世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/fox_tour_declaration.rs,58,一覧,なし,条件1、条件3、条件2,同上,場所巡りの世界のアセット定義一覧,命名_区画032_2026-09-12.md
032,blitz_asset_compiler,crates/blitz_asset_compiler/src/runtime_compilation/world/vertex_diagnostic_declaration.rs,33,一覧(引数原型あり),なし,条件1、条件3、条件2,同上,頂点診断の世界のアセット定義一覧,命名_区画032_2026-09-12.md
033,blitz_asset_compiler,crates/blitz_asset_compiler/src/terrain/skirt_depth.rs,67,f32から求める,英字1文字・数字,条件1(受理テスト)・条件3(5W1Hの必要格),関数は値: i32を受け取りf32を返す(i16経由で狭めてからf32::fromする)。名前の格助詞「から」は「f32が起点(入力)である」と読ませるが、実際は逆でf32は出力側であり入力はi32である。直上の///コメント自身が「格子添字を実数へ変換する」と書いており、名前とコメントが矛盾している。同じファイル内のvertex.rsの類例格子添字を実数へ変換する(を+へで方向が明確)と比べても、この名前だけは方向が逆転して読める。名前だけを見た読み手は「f32型の値から何かを求める」と誤読し、実際の入力型・変換方向を復元できない。改名の素案: 格子添字をf32へ変換する(またはvertex.rsの命名に揃えて値をf32へ狭めて変換する),,命名_区画033_2026-09-12.md
034,blitz_asset_compiler,crates/blitz_asset_compiler/src/vegetation/bounds.rs,70,距離(関数名),なし,条件1(受理テスト)・条件4(品詞の規律),この関数は2点間の距離を計算する処理(処理=動詞句であるべき)だが、名前が裸の名詞「距離」だけである。「距離です」は処理の答えとして成立せず、「距離を求める処理です」と読めない。同じファイル内の頂点の包囲を求める・群の包囲領域を求めるは同種の計算にすべて「〜を求める」を付けており、この関数だけが裸名詞になっている,距離を求める,命名_区画034_2026-09-12.md
034,blitz_asset_compiler,crates/blitz_asset_compiler/src/texture_storage/block_compression/rgb565.rs,"8-10,43",赤の段数・緑の段数・青の段数・成分を段へ量子化するの段/段数,なし,条件6(1語1義),「段」はこのクレート全体で「縮小段(mip level)」の訳語として確立している(_doc/計画/ユビキタス言語.md「縮小段」、texture_storage直下・mip_chain配下の全ファイルで「段: &テクスチャデータ」がmip levelを指す)。ところがこのファイルでは同じ「段」をRGB565の量子化ステップ値(0〜31/0〜63の整数)という別概念に使っている。同じディレクトリ木の中で読み手が「段=mip level」の類推を持ち込むと誤読する,量子化段(例: 赤の量子化段数・成分を量子化段へ量子化する),命名_区画034_2026-09-12.md
034,blitz_asset_compiler,crates/blitz_asset_compiler/src/texture_storage/block_compression/reference_decode.rs,"38,44,48",段を取り出す・五ビットの段を8ビットへ広げる・六ビットの段を8ビットへ広げるの段,数字,条件6(1語1義),上と同じ「段」のオーバーロード。RGB565の16ビット詰め値から取り出した5/6ビットの成分値(量子化ステップ)を「段」と呼んでおり、mip levelの「段」と衝突する,量子化段(例: 量子化段を取り出す・5ビットの量子化段を8ビットへ広げる),命名_区画034_2026-09-12.md
034,blitz_asset_compiler,crates/blitz_asset_compiler/src/vegetation/terrain_group.rs,17,原型id(フィールド名),英単語または略号,条件6(1語1義)/表記の統一,フィールドの型はアセットIDであり、同じ_doc/計画/ユビキタス言語.md・同クレート内の確立語(アセットID・描画対象ID・テクスチャID・画像ID)はすべて大文字の「ID」で終わる。このフィールドだけ小文字の「id」を名詞へ直接くっつけており、読み手は同じ概念の表記違いか別概念かを区別できない,原型ID,命名_区画034_2026-09-12.md
035,blitz_asset_compiler,crates/blitz_asset_compiler/tests/integration/multi_material_fixture/mod.rs,52,長さをu32へ(関数),英字1文字・数字,条1(受理テスト)・条4(品詞の規律),目的格「長さを」と着点格「u32へ」だけが並び、動詞が無い。処理(関数)なのに完結した動詞句でなく、「これは何?」に単独で答えられない(「u32へ…変換する」のか「u32へ詰める」のか「u32へ書く」のか名前だけでは決まらない),長さをu32へ変換する,命名_区画035_2026-09-12.md
037,blitz_collision,crates/blitz_collision/src/contact_set/determinism_tests.rs,91,"第1のx, 第1のy, 第1のz, 第2のx, 第2のy, 第2のz(let分解の束縛名)",英字1文字・英単語または略号・数字,識別子への英字混入(検査指示の明示対象。実質は受理条件4「品詞の規律」寄りの逸脱でもある: 座標成分という値を指す名詞句の中へ生の英字x/y/zを裸で挟んでいる),「x」「y」「z」は日本語の語ではなく、直前の文脈(位置の成分が[f64; 3]の配列を返す)を読まないと何番目の成分かが復元できない。座標軸の意味を持つ英字を、助詞も付けずに名詞の後ろへ貼り付けている点が「単語らしく見せるための膠着圧縮」に近い,"第1の東西成分, 第1の上下成分, 第1の南北成分等、実際の意味(この場面ではメートル座標の3成分)に沿った名か、第1の位置の1番目のような添字表現に改める(具体の名は文脈——地形の東西南北基準か任意軸か——を実装者が確認して決める)",命名_区画037_2026-09-12.md
037,blitz_collision,crates/blitz_collision/src/contact_set/feature_order_tests.rs,26-28,"x側, y側, z側(ループ変数名)",英字1文字,同上(識別子への英字混入),直方体の面の向きを3回列挙する三重ループの変数名であり、x/y/zがどの座標軸に対応するかはコード外の暗黙の慣習(直方体自身の座標軸の並び順)に依存する。読み手は直方体自身の座標軸::並べる()の並び順を別途確認しないと対応が取れない,"軸0の側, 軸1の側, 軸2の側、または直方体自身の座標軸::並べる()を回して軸と側の組で回す実装に変え、裸の英字を無くす",命名_区画037_2026-09-12.md
